CostCoreMil,CostFairingsMil,CostOtherMil,CostKgMil,CostTotalMil,RevenueReuseMil,RevenueKgMil,RevenueTotalMil,ProfitMil,Class,FlightNumber,Date,ReusedCore,ReusedFairings,PayloadMass
30000000.00,6000000.00,14000000.00,42734715.88,92734715.88,62000000.00,61049594.12,123049594.10,30314878.22,0,1,6/4/2010,0,0,6104.959412
30000000.00,6000000.00,14000000.00,3675000.00,53675000.00,62000000.00,5250000.00,67250000.00,13575000.00,0,2,5/22/2012,0,0,525
30000000.00,6000000.00,14000000.00,4739000.00,54739000.00,62000000.00,6770000.00,68770000.00,14031000.00,0,3,3/1/2013,0,0,677
30000000.00,6000000.00,14000000.00,3500000.00,53500000.00,62000000.00,5000000.00,67000000.00,13500000.00,0,4,9/29/2013,0,0,500
30000000.00,6000000.00,14000000.00,22190000.00,72190000.00,62000000.00,31700000.00,93700000.00,21510000.00,0,5,12/3/2013,0,0,3170
30000000.00,6000000.00,14000000.00,23275000.00,73275000.00,62000000.00,33250000.00,95250000.00,21975000.00,0,6,1/6/2014,0,0,3325
30000000.00,6000000.00,14000000.00,16072000.00,66072000.00,62000000.00,22960000.00,84960000.00,18888000.00,1,7,4/18/2014,0,0,2296
30000000.00,6000000.00,14000000.00,9212000.00,59212000.00,62000000.00,13160000.00,75160000.00,15948000.00,1,8,7/14/2014,0,0,1316
30000000.00,6000000.00,14000000.00,31745000.00,81745000.00,62000000.00,45350000.00,107350000.00,25605000.00,0,9,8/5/2014,0,0,4535
30000000.00,6000000.00,14000000.00,30996000.00,80996000.00,62000000.00,44280000.00,106280000.00,25284000.00,0,10,9/7/2014,0,0,4428
30000000.00,6000000.00,14000000.00,15512000.00,65512000.00,62000000.00,22160000.00,84160000.00,18648000.00,0,11,9/21/2014,0,0,2216
30000000.00,6000000.00,14000000.00,16765000.00,66765000.00,62000000.00,23950000.00,85950000.00,19185000.00,0,12,1/10/2015,0,0,2395
30000000.00,6000000.00,14000000.00,3990000.00,53990000.00,62000000.00,5700000.00,67700000.00,13710000.00,1,13,2/11/2015,0,0,570
30000000.00,6000000.00,14000000.00,13286000.00,63286000.00,62000000.00,18980000.00,80980000.00,17694000.00,0,14,4/14/2015,0,0,1898
30000000.00,6000000.00,14000000.00,32949000.00,82949000.00,62000000.00,47070000.00,109070000.00,26121000.00,0,15,4/27/2015,0,0,4707
30000000.00,6000000.00,14000000.00,17339000.00,67339000.00,62000000.00,24770000.00,86770000.00,19431000.00,0,16,6/28/2015,0,0,2477
30000000.00,6000000.00,14000000.00,14238000.00,64238000.00,62000000.00,20340000.00,82340000.00,18102000.00,1,17,12/22/2015,0,0,2034
30000000.00,6000000.00,14000000.00,3871000.00,53871000.00,62000000.00,5530000.00,67530000.00,13659000.00,0,18,1/17/2016,0,0,553
30000000.00,6000000.00,14000000.00,36897000.00,86897000.00,62000000.00,52710000.00,114710000.00,27813000.00,0,19,3/4/2016,0,0,5271
30000000.00,6000000.00,14000000.00,21952000.00,71952000.00,62000000.00,31360000.00,93360000.00,21408000.00,1,20,4/8/2016,0,0,3136
30000000.00,6000000.00,14000000.00,32872000.00,82872000.00,62000000.00,46960000.00,108960000.00,26088000.00,1,21,5/6/2016,0,0,4696
30000000.00,6000000.00,14000000.00,21700000.00,71700000.00,62000000.00,31000000.00,93000000.00,21300000.00,1,22,5/27/2016,0,0,3100
30000000.00,6000000.00,14000000.00,15799000.00,65799000.00,62000000.00,22570000.00,84570000.00,18771000.00,1,23,7/18/2016,0,0,2257
